1647313508.000000, 1647313508.000000, 1647313508.000000
32.000000, 32.000000, 32.000000
-62,15,8
-62,15,8
-63,15,9
-63,15,8
-63,15,8
-63,15,9
-63,15,8
-63,15,8
-63,15,8
-63,15,9
-62,15,8
-62,16,9
-63,15,8
-63,15,8
-63,15,9
-63,15,8
-63,14,8
-63,14,8
-63,14,9
-63,14,8
-63,15,8
-63,15,8
-62,15,8
-62,15,8
-63,15,8
-63,15,8
-63,14,8
-63,14,7
-63,15,8
-63,15,7
-62,14,7
-62,14,7
-63,14,7
-63,15,7
-64,15,7
-63,15,6
-63,15,6
-64,15,6
-65,15,6
-66,15,6
-68,16,6
-71,17,8
-69,14,11
-70,11,12
-69,10,6
-60,10,14
-65,10,15
-62,9,13
-70,9,20
-61,6,18
-37,7,8
-66,9,9
-55,3,13
-57,4,16
-67,6,17
-65,5,14
-62,5,10
-66,7,12
-62,5,24
-60,6,17
-54,6,29
-56,4,26
-52,3,25
-60,6,38
-58,1,28
-60,7,30
-60,5,26
-60,3,10
-62,6,13
-63,5,14
-64,6,13
-65,4,15
-67,-2,13
-68,-1,13
-67,1,14
-67,2,16
-63,4,15
-62,4,17
-60,3,15
-60,4,14
-61,4,18
-62,3,17
-62,2,15
-62,3,15
-63,2,13
-62,2,12
-64,2,11
-64,3,14
-63,2,10
-65,2,13
-65,0,10
-65,0,12
-65,0,14
-65,-1,12
-63,1,13
-61,1,14
-61,1,13
-61,0,13
-62,1,15
-62,1,16
-64,1,18
-63,1,18
-63,1,17
-62,1,17
-62,2,17
-62,1,17
-62,1,17
-63,1,16
-63,1,16
-63,1,16
-63,1,17
-63,1,17
-63,1,16
-63,1,16
-63,1,15
-63,1,16
-63,1,16
-63,1,16
-63,1,16
-63,1,16
-63,1,17
-63,1,16
-63,1,18
-62,1,18
-62,1,18
-63,2,17
-63,1,16
-62,1,17
-62,1,17
-62,1,17
-63,1,17
-63,1,17
-62,1,17
-63,1,17
-62,2,17
-63,1,17
-62,1,18
-62,1,17
-63,1,17
-63,1,16
-63,1,17
-63,1,17
-63,1,17
-63,1,17
-63,1,17
-62,1,17
-63,0,17
-62,0,17
-62,0,17
-62,1,17
-62,1,18
-62,1,18
-62,1,18
-63,1,17
-63,1,17
-63,1,17
-63,1,17
-63,1,17
-62,1,17
-62,1,17
-62,1,18
-62,1,18
-62,1,17
-62,1,18
-63,1,18
-63,1,17
-63,1,18
-62,1,17
-62,1,18
-62,1,18
-62,1,18
-62,1,18
-62,1,18
-63,2,17
-63,2,17
-64,2,16
-64,1,16
-63,0,17
-62,0,17
-62,0,18
-62,0,17
-62,0,18
-62,1,18
-62,1,18
-62,1,17
-63,1,17
-63,1,17
-63,1,17
-63,1,17
-63,1,16
-63,1,17
-63,1,17
-63,1,17
-63,1,18
-62,1,18
-62,1,17
-62,2,17
-63,2,16
-63,2,16
-64,1,16
-64,1,16
-64,1,17
-63,1,17
-62,1,17
-61,1,17
-61,2,17
-62,2,17
-62,2,17
-63,1,17
-63,1,17
-63,1,16
-63,2,16
-63,2,16
-63,1,17
-63,2,17
-62,2,17
-62,2,17
-62,2,17
-62,2,16
-62,2,17
-62,2,17
-62,2,17
-63,2,17
-63,2,16
-63,2,16
-63,2,17
-62,2,17
-62,3,17
-63,3,16
-63,3,16
-63,2,16
-63,2,16
-62,2,17
-63,2,17
-63,2,16
-63,2,17
-63,3,16
-63,3,16
-63,3,17
-63,3,16
-62,3,17
-62,2,16
-62,3,16
-63,3,16
-63,2,18
-62,3,19
-63,3,17
-63,3,16
-64,3,17
-63,2,17
-60,3,18
-62,4,20
-61,2,15
-62,5,16
-62,6,23
-60,-1,6
-65,2,7
-64,6,19
-61,3,14
-67,3,1
-66,7,9
-64,7,16
-63,5,13
-66,5,6
-66,7,7
-66,7,11
-64,6,15
-64,5,12
-64,7,11
-64,8,14
-63,7,15
-63,7,15
-63,7,13
-63,8,13
-63,7,12
-62,7,14
-63,6,13
-63,6,15
-63,6,15
-63,7,16
-63,7,17
-63,8,17
-63,8,17
-62,8,17
-62,8,17
-63,7,15
-64,7,15
-64,7,14
-65,7,16
-66,8,16
-65,8,19
-67,8,20
-67,8,21
-68,8,22
-71,9,21
-69,9,27
-61,9,40
-79,8,38
-74,10,46
-64,3,41
-57,1,44
-42,-4,43
-33,-9,41
-11,-16,44
-6,-21,43
6,-27,40
12,-28,41
21,-28,43
29,-29,43
41,-29,43
31,-29,49
14,-29,49
7,-32,47
3,-33,49
1,-32,53
3,-32,51
13,-32,51
29,-34,57
21,-31,45
27,-31,43
29,-31,45
20,-33,44
23,-33,48
26,-37,51
20,-39,47
26,-36,48
27,-35,48
23,-33,48
27,-32,52
21,-31,49
22,-29,48
27,-28,52
38,-33,68
48,-34,49
14,-34,40
19,-38,37
11,-35,36
3,-32,40
-5,-32,43
-6,-34,40
-12,-35,31
-26,-25,39
-29,-23,42
-29,-25,33
-40,-18,41
-47,-13,45
-44,-12,39
-43,-5,31
-56,2,37
-52,5,45
-45,4,43
-50,9,40
-52,17,51
-47,19,52
-38,22,58
-32,25,65
-26,28,67
-22,30,65
-14,32,62
-10,33,62
-4,33,55
0,33,55
3,34,55
-2,36,52
-3,36,55
-6,37,54
-7,38,53
-9,40,55
-8,40,56
-6,41,54
-5,42,54
0,42,53
-1,41,52
-1,40,49
-1,40,49
0,39,48
0,39,47
1,39,49
-1,40,50
0,40,50
-2,40,51
-2,40,50
-2,40,49
0,40,50
0,40,50
0,40,50
0,40,51
0,39,51
1,39,50
0,39,49
0,40,49
1,41,49
1,41,48
0,42,49
0,41,49
-1,40,48
